,0,1,2,3,4,5
189,"universityofcincinnati,us-universityofcincinnati,us	universityofcincinnati,us-universityofillinoisaturbana-champaign,us","universityofcincinnati,us-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-jeonbuknationaluniversity,kr",,,,
190,"soganguniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-dukeuniversity,us","seoulnationaluniversity,kr-dukeuniversity,us	dukeuniversity,us-universityofwisconsin-madison,us","dukeuniversity,us-universityofwisconsin-madison,us	universityofwisconsin-madison,us-seoulnationaluniversity,kr","universityofwisconsin-madison,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-jeonbuknationaluniversity,kr",,
191,"koreaadvancedinstituteofscienceandtechnology,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-indianauniversitybloomington,us","seoulnationaluniversity,kr-indianauniversitybloomington,us	indianauniversitybloomington,us-yonseiuniversity,kr","indianauniversitybloomington,us-yonseiuniversity,kr	yonseiuniversity,kr-instituteforbasicscience,kr","yonseiuniversity,kr-instituteforbasicscience,kr	instituteforbasicscience,kr-jeonbuknationaluniversity,kr",,
192,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-nationalinstituteofstandardandtechnology,us","seoulnationaluniversity,kr-nationalinstituteofstandardandtechnology,us	nationalinstituteofstandardandtechnology,us-seoulnationaluniversity,kr","nationalinstituteofstandardandtechnology,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-jeonbuknationaluniversity,kr",,,
193,"stateuniversityofnewyork,us-stateuniversityofnewyork,us	stateuniversityofnewyork,us-princetonuniversity,us","stateuniversityofnewyork,us-princetonuniversity,us	princetonuniversity,us-jeonbuknationaluniversity,kr",,,,
194,"yonseiuniversity,kr-leibnizinstituteforsolidstateandmaterialsresearchdresden,de	leibnizinstituteforsolidstateandmaterialsresearchdresden,de-jejunationaluniversity,kr",,,,,
195,"pohanguniversityofscienceandtechnology,kr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-jeonbuknationaluniversity,kr",,,,,
196,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-sungkyunkwanuniversity,kr","seoulnationaluniversity,kr-sungkyunkwanuniversity,kr	sungkyunkwanuniversity,kr-rwthaachenuniversity,de","sungkyunkwanuniversity,kr-rwthaachenuniversity,de	rwthaachenuniversity,de-seoulnationaluniversity,kr","rwthaachenuniversity,de-seoulnationaluniversity,kr	seoulnationaluniversity,kr-jeonbuknationaluniversity,kr",,
197,"seoulnationaluniversity,kr-instituteforbasicscience,kr	instituteforbasicscience,kr-northwesternuniversity,us","instituteforbasicscience,kr-northwesternuniversity,us	northwesternuniversity,us-jeonbuknationaluniversity,kr",,,,
198,"seoulnationaluniversity,kr-germanelectronsynchrotron,de	germanelectronsynchrotron,de-jeonbuknationaluniversity,kr",,,,,
