,0,1,2,3,4,5
103,"koreaadvancedinstituteofscienceandtechnology,kr-universityoftoronto,ca	universityoftoronto,ca-universityofpennsylvania,us","universityoftoronto,ca-universityofpennsylvania,us	universityofpennsylvania,us-jungwonuniversity,kr",,,,
104,"koreaadvancedinstituteofscienceandtechnology,kr-koreauniversity,kr	koreauniversity,kr-hankukuniversityofforeignstudies,kr",,,,,
105,"universityofsoutherncalifornia,us-rockwellinternational,us	rockwellinternational,us-hongikuniversity,kr",,,,,
106,"universityofmichigan,us-ibm,us	ibm,us-hongikuniversity,kr",,,,,
107,"universityofcalifornia,us-universityofcalifornia,us	universityofcalifornia,us-hongikuniversity,kr",,,,,
108,"georgiainstituteoftechnology,us-georgiainstituteoftechnology,us	georgiainstituteoftechnology,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
109,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-universityofcalifornia,us","koreaadvancedinstituteofscienceandtechnology,kr-universityofcalifornia,us	universityofcalifornia,us-gwangjuinstituteofscienceandtechnology,kr",,,,
110,"gwangjuinstituteofscienceandtechnology,kr-gwangjuinstituteofscienceandtechnology,kr	gwangjuinstituteofscienceandtechnology,kr-universityofillinoisaturbana-champaign,us","gwangjuinstituteofscienceandtechnology,kr-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-pusannationaluniversity,kr",,,,
111,"columbiauniversityinthecityofnewyork,us-bellcore,us	bellcore,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
112,"universityofwaterloo,ca-universityofwaterloo,ca	universityofwaterloo,ca-lakeheaduniversity,ca",,,,,
113,"universityofcincinnati,us-universityofcincinnati,us	universityofcincinnati,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
114,"universityofcoloradoboulder,us-koreainstituteofscienceandtechnology,kr	koreainstituteofscienceandtechnology,kr-osakanationalresearchinstitute,jp","koreainstituteofscienceandtechnology,kr-osakanationalresearchinstitute,jp	osakanationalresearchinstitute,jp-gwangjuinstituteofscienceandtechnology,kr","osakanationalresearchinstitute,jp-gwangjuinstituteofscienceandtechnology,kr	gwangjuinstituteofscienceandtechnology,kr-gwangjuinstituteofscienceandtechnology,kr",,,
115,"universityofsoutherncalifornia,us-harvarduniversity,us	harvarduniversity,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
116,"universityofillinoisaturbana-champaign,us-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
117,"koreaadvancedinstituteofscienceandtechnology,kr-korearesearchinstituteofstandardsandscience,kr	korearesearchinstituteofstandardsandscience,kr-theuniversityofnewmexico,mx","korearesearchinstituteofstandardsandscience,kr-theuniversityofnewmexico,mx	theuniversityofnewmexico,mx-losalamosnationallaboratory,us","theuniversityofnewmexico,mx-losalamosnationallaboratory,us	losalamosnationallaboratory,us-gwangjuinstituteofscienceandtechnology,kr",,,
118,"universityofminnesota-twincities,us-universityofcalifornia,us	universityofcalifornia,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
119,"princetonuniversity,us-argonnenationallaboratory,us	argonnenationallaboratory,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
120,"maxplanckinstituteforintelligentsystems,de-maxplanckinstituteforintelligentsystems,de	maxplanckinstituteforintelligentsystems,de-gwangjuinstituteofscienceandtechnology,kr",,,,,
121,"seoulnationaluniversity,kr-nationalhighmagneticfieldlaboratory,us	nationalhighmagneticfieldlaboratory,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
122,"waynestateuniversity,us-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-inhauniversity,kr",,,,,
123,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofthebundeswehrmunich,de","seoulnationaluniversity,kr-universityofthebundeswehrmunich,de	universityofthebundeswehrmunich,de-gwangjuinstituteofscienceandtechnology,kr",,,,
124,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-koreauniversity,kr",,,,,
125,"seoulnationaluniversity,kr-universityofsoutherncalifornia,us	universityofsoutherncalifornia,us-kongjunationaluniversity,kr",,,,,
126,"gwangjuinstituteofscienceandtechnology,kr-gwangjuinstituteofscienceandtechnology,kr	gwangjuinstituteofscienceandtechnology,kr-gwangjuinstituteofscienceandtechnology,kr",,,,,
127,"seoulnationaluniversity,kr-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
128,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-carnegiemellonuniversity,us","koreaadvancedinstituteofscienceandtechnology,kr-carnegiemellonuniversity,us	carnegiemellonuniversity,us-gwangjuinstituteofscienceandtechnology,kr",,,,
129,"casewesternreserveuniversity,us-rensselaerpolytechnicinstitute,us	rensselaerpolytechnicinstitute,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
130,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-jeonbuknationaluniversity,kr",,,,,
131,"koreaadvancedinstituteofscienceandtechnology,kr-koreainstituteofmachineryandmaterials,kr	koreainstituteofmachineryandmaterials,kr-jeonbuknationaluniversity,kr",,,,,
132,"koreauniversity,kr-koreauniversity,kr	koreauniversity,kr-jeonbuknationaluniversity,kr",,,,,
133,"yonseiuniversity,kr-yonseiuniversity,kr	yonseiuniversity,kr-jeonbuknationaluniversity,kr",,,,,
134,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-jeonbuknationaluniversity,kr",,,,,
135,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-jeonbuknationaluniversity,kr",,,,,
136,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-jeonbuknationaluniversity,kr",,,,,
137,"seoulnationaluniversity,kr-federalinstituteoftechnologyzurich,ch	federalinstituteoftechnologyzurich,ch-chung-anguniversity,kr",,,,,
138,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-chung-anguniversity,kr",,,,,
139,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofoxford,uk","seoulnationaluniversity,kr-universityofoxford,uk	universityofoxford,uk-chung-anguniversity,kr",,,,
140,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr","koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-chung-anguniversity,kr",,,,
141,"universityofpennsylvania,us-rutgersuniversity,us	rutgersuniversity,us-chung-anguniversity,kr",,,,,
142,"chung-anguniversity,kr-chung-anguniversity,kr	chung-anguniversity,kr-chung-anguniversity,kr","chung-anguniversity,kr-chung-anguniversity,kr	chung-anguniversity,kr-chung-anguniversity,kr",,,,
143,"universityofsoutherncalifornia,us-universityofsoutherncalifornia,us	universityofsoutherncalifornia,us-hongikuniversity,kr",,,,,
144,"theuniversityoftexasataustin,us-stanforduniversity,us	stanforduniversity,us-chung-anguniversity,kr",,,,,
145,"seoulnationaluniversity,kr-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-chung-anguniversity,kr",,,,,
146,"inhauniversity,kr-nationalinstituteforresearchindigitalscienceandtechnology,fr	nationalinstituteforresearchindigitalscienceandtechnology,fr-inhauniversity,kr","nationalinstituteforresearchindigitalscienceandtechnology,fr-inhauniversity,kr	inhauniversity,kr-yeungnamuniversity,kr",,,,
147,"chung-anguniversity,kr-chung-anguniversity,kr	chung-anguniversity,kr-universityofcoloradodenver,us","chung-anguniversity,kr-universityofcoloradodenver,us	universityofcoloradodenver,us-chung-anguniversity,kr",,,,
148,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-ajouuniversity,kr",,,,,
149,"carnegiemellonuniversity,us-carnegiemellonuniversity,us	carnegiemellonuniversity,us-seoulnationaluniversity,kr","carnegiemellonuniversity,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-ajouuniversity,kr",,,,
150,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-ajouuniversity,kr",,,,,
151,"chungbuknationaluniversity,kr-chungbuknationaluniversity,kr	chungbuknationaluniversity,kr-chungbuknationaluniversity,kr",,,,,
152,"seoulnationaluniversity,kr-columbiauniversityinthecityofnewyork,us	columbiauniversityinthecityofnewyork,us-georgiainstituteoftechnology,us","columbiauniversityinthecityofnewyork,us-georgiainstituteoftechnology,us	georgiainstituteoftechnology,us-chungbuknationaluniversity,kr",,,,
153,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-chungbuknationaluniversity,kr",,,,,
154,"koreauniversity,kr-koreauniversity,kr	koreauniversity,kr-universityofcalifornia,us","koreauniversity,kr-universityofcalifornia,us	universityofcalifornia,us-chungnamnationaluniversity,kr",,,,
155,"koreaadvancedinstituteofscienceandtechnology,kr-electronicsandtelecommunicationsresearchinstitute,kr	electronicsandtelecommunicationsresearchinstitute,kr-kumohnationalinstituteoftechnology,kr",,,,,
156,"koreaadvancedinstituteofscienceandtechnology,kr-carnegiemellonuniversity,us	carnegiemellonuniversity,us-chungnamnationaluniversity,kr",,,,,
157,"seoulnationaluniversity,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-chungbuknationaluniversity,kr",,,,,
158,"texasa&muniversity,us-kangwonnationaluniversity,kr	kangwonnationaluniversity,kr-universityofulsan,kr",,,,,
159,"universityofcalifornia,us-purdueuniversity,us	purdueuniversity,us-inhauniversity,kr",,,,,
160,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-simonfraseruniversity,ca","koreaadvancedinstituteofscienceandtechnology,kr-simonfraseruniversity,ca	simonfraseruniversity,ca-imperialcollegelondon,uk","simonfraseruniversity,ca-imperialcollegelondon,uk	imperialcollegelondon,uk-kookminuniversity,kr",,,
